Year,Stock,BS.Need,Pre.NO,Pre.HO,In.NO,In.HO,Post.NO,Post.HO,Weir.Eff,Trap.NO,Trap.HO,PSS.BLW,PSS.ABV,Rec.Hvst.NO,Rec.Hvst.HO,Trt.Hvst.HO,Tot.Spwn
1985,IMN,,,,,,1330,0,0.13,119,0,,,0,0,0,1147
1986,IMN,,,,,,1016,48,0.38,293,14,,,0,0,0,702
1987,IMN,,,,,,553,22,0.38,161,6,,,0,0,0,454
1988,IMN,,,,,,709,78,0.57,338,37,,,0,0,0,613
1989,IMN,,,,,,343,112,0.97,220,71,,,0,0,0,243
1990,IMN,,,,,,265,278,0.75,173,182,,,0,0,0,349
1991,IMN,,,,,,277,307,0.85,121,144,0.86,0.96,0,0,0,414
1992,IMN,,,,,,250,888,0.91,151,620,0.96,0.66,0,0,0,605
1993,IMN,,,,,,521,1169,0.92,348,875,0.94,0.86,0,0,0,1057
1994,IMN,,,,,,179,149,0.84,71,85,1,0.84,0,0,0,243
1995,IMN,,,,,,216,101,0.2,16,14,1,0.33,0,0,0,265
1996,IMN,,,,,,358,95,0.65,139,45,0.91,1,0,0,0,348
1997,IMN,,,,,,219,799,0.59,56,393,0.96,0.97,0,0,0,638
1998,IMN,,,,,,276,301,0.7,135,163,0.82,0.97,0,0,0,385
1999,IMN,,,,,,428,439,0.34,53,142,0.97,0.97,0,0,0,746
2000,IMN,,,,,,446,474,0.6,161,272,0.94,0.98,0,0,0,754
2001,IMN,,,,,,2274,2413,0.88,1330,1507,0.68,0.54,46,215,33,2279
2002,IMN,,,,,,1467,2983,0.34,233,835,0.7,0.86,0,133,196,2970
2003,IMN,,,,,,1646,1878,0.36,352,549,0.82,0.91,10,73,191,2582
2004,IMN,,,,,,561,1479,0.69,195,685,0.92,0.95,0,90,288,1122
2005,IMN,,,,,,331,1098,1,227,806,0.89,0.89,3,28,0,673
2006,IMN,,,,,,303,1023,0.69,124,575,0.82,0.96,0,0,0,732
2007,IMN,,,,,,194,1085,1,130,687,0.78,0.9,0,0,62,686
2008,IMN,,,,,,297,2919,0.49,101,960,0.65,0.9,2,64,322,1603
2009,IMN,,,,,,466,1885,0.79,182,835,0.88,0.9,5,201,535,1069
2010,IMN,,,,,,781,3764,0.71,268,1529,0.88,0.86,11,336,669,1960
2011,IMN,,,,,,1026,2558,0.3,161,327,0.76,0.91,15,519,751,1801
2012,IMN,,,,,,819,2549,0.74,450,1366,0.92,0.91,6,203,408,1597
2013,IMN,,,,,,279,983,0.28,47,212,0.97,0.97,1,30,232,916
2014,IMN,,,,,,844,1295,0.95,585,855,0.96,0.87,1,33,151,1292
2015,IMN,,,,,,635,2089,0.97,398,1285,0.89,0.8,0,73,323,1199
2016,IMN,,,,,,711,1429,0.99,492,968,0.95,0.96,0,113,162,1296
2017,IMN,,,,,,319,785,0.75,196,468,0.67,0.92,0,0,0,580
2018,IMN,282,322,639,195,639,258,445,0.98,175,298,1,0.82,0,0,22,358
2019,IMN,282,277,781,168,345,203,701,0.89,132,410,1,0.82,0,0,11,529
2020,IMN,282,264,1122,264,1122,303,1318,0.97,188,837,0.92,0.97,0,0,129,857
2021,IMN,282,358,1036,275,1286,222,1124,0.97,154,847,0.97,1,0,0,252,725
2022,IMN,282,363,1088,576,957,358,710,0.95,273,446,0.5,1,5,58,199,498
2023,IMN,282,376,1747,350,954,278,657,0.81,169,430,1,1,0,0,133,494
2024,IMN,282,345,860,275,968,382,998,0.85,218,612,0.67,1,0,0,90,703
2025,IMN,282,482,1102,373,1100,336,1412,0.96,257,828,0.86,1,0,0,147,803
2026,IMN,282,475,834,315,610,,,,,,,,,,,
1997,LST,,,,,,130,11,0.18,25,2,1,0.97,,,,145
1998,LST,,,,,,157,0,0.16,19,0,1,0.9,,,,145
1999,LST,,,,,,68,7,0.21,11,1,,0.92,,,,76
2000,LST,,,,,,223,4,0.4,53,1,0.83,0.76,,,0,226
2001,LST,,,,,,484,165,0.83,328,79,1,0.82,,,49,491
2002,LST,,,,,,359,442,0.84,244,258,0.92,0.78,,,0,658
2003,LST,,,,,,318,280,0.64,181,128,0.85,0.86,,,0,586
2004,LST,,,,,,197,838,0.77,218,584,0.91,0.88,,,0,831
2005,LST,,,,,,146,713,0.93,150,556,0.92,0.79,,,44,505
2006,LST,,,,,,182,400,0.74,150,309,0.67,0.83,,,10,469
2007,LST,,,,,,150,272,0.97,161,245,1,0.88,,,0,344
2008,LST,,,,,,382,1034,0.51,272,425,0.91,0.89,,,55,1515
2009,LST,,,,,,521,1451,0.84,384,939,0.75,0.62,10,1,229,1055
2010,LST,,,,,,745,3619,0.11,105,420,0,0.87,45,7,311,4142
2011,LST,,,,,,631,3290,0.08,92,155,0.86,0.97,25,3,242,5239
2012,LST,,,,,,776,1083,0.95,459,785,0.92,0.86,0,1,32,1297
2013,LST,,,,,,322,211,0.59,188,89,1,0.83,0,0,0,978
2014,LST,,,,,,1131,1270,0.62,505,477,0.91,0.93,10,0,124,2236
2015,LST,,,,,,539,1314,0.96,394,563,0.7,0.9,133,0,562,759
2016,LST,,,,,,646,921,0.89,522,538,0.55,0.73,0,0,128,910
2017,LST,,,,,,131,569,0.85,83,424,1,0.85,0,0,51,345
2018,LST,,,,,,235,832,0.87,213,629,1,0.92,0,0,80,637
2019,LST,,,,,,144,429,0.95,120,381,1,0.92,0,0,2,398
2020,LST,160,284,684,455,664,262,647,0.96,274,541,1,0.95,0,0,31,650
